grid_id,latitude,longitude,x,y,ward_id,ward_name,lst_c,ndvi,ndbi,tree_canopy_pct,built_pct,albedo,road_density,distance_green_m,elevation_m,population_density,data_label
DEMO_G_0027,18.5417737,73.8490183,378525,2050515,DEMO_WARD_02,DEMO Ward 02,32.239,0.2876,0.1452,26.5,53.56,0.2294,3.704,230.58,553.95,12455.1,DEMO / SYNTHETIC DATA
DEMO_G_0028,18.5417754,73.8493025,378555,2050515,DEMO_WARD_02,DEMO Ward 02,35.807,0.1431,0.2145,28.96,55.99,0.1155,5.229,500.24,552.47,15721.44,DEMO / SYNTHETIC DATA
DEMO_G_0029,18.5417772,73.8495867,378585,2050515,DEMO_WARD_02,DEMO Ward 02,33.563,0.339,0.1133,18.5,59.02,0.2304,6.969,370.83,550.11,13187.5,DEMO / SYNTHETIC DATA
DEMO_G_0030,18.5417789,73.8498709,378615,2050515,DEMO_WARD_02,DEMO Ward 02,34.222,0.4,0.1447,24.15,50.2,0.1565,4.959,432.21,554.19,12662.28,DEMO / SYNTHETIC DATA
DEMO_G_0031,18.5417806,73.8501551,378645,2050515,DEMO_WARD_02,DEMO Ward 02,37.537,0.1415,0.3945,25.72,62.22,0.1751,7.362,218.46,548.66,15111.14,DEMO / SYNTHETIC DATA
DEMO_G_0032,18.5417824,73.8504393,378675,2050515,DEMO_WARD_02,DEMO Ward 02,33.451,0.3513,0.3244,41.61,69.27,0.2243,7.2,522.48,551.77,14000.37,DEMO / SYNTHETIC DATA
DEMO_G_0033,18.5417841,73.8507235,378705,2050515,DEMO_WARD_02,DEMO Ward 02,29.296,0.3611,0.1463,25.75,39.0,0.3043,4.732,176.74,558.88,11155.79,DEMO / SYNTHETIC DATA
DEMO_G_0034,18.5417858,73.8510077,378735,2050515,DEMO_WARD_02,DEMO Ward 02,33.882,0.2684,0.0984,38.76,59.32,0.194,5.783,571.87,554.92,9793.99,DEMO / SYNTHETIC DATA
DEMO_G_0035,18.5417876,73.8512919,378765,2050515,DEMO_WARD_02,DEMO Ward 02,38.123,0.2587,0.4005,29.71,61.56,0.2537,6.101,532.71,554.73,14106.89,DEMO / SYNTHETIC DATA
DEMO_G_0036,18.5417893,73.8515762,378795,2050515,DEMO_WARD_02,DEMO Ward 02,30.309,0.2821,0.1566,24.03,77.31,0.2505,8.293,525.91,545.06,8280.89,DEMO / SYNTHETIC DATA
DEMO_G_0037,18.541791,73.8518604,378825,2050515,DEMO_WARD_02,DEMO Ward 02,36.335,0.2067,0.1918,22.09,51.01,0.2278,7.708,242.88,559.83,15442.53,DEMO / SYNTHETIC DATA
DEMO_G_0038,18.5417927,73.8521446,378855,2050515,DEMO_WARD_02,DEMO Ward 02,36.376,0.3321,0.2542,38.11,58.51,0.1646,4.281,243.91,557.85,9048.44,DEMO / SYNTHETIC DATA
DEMO_G_0039,18.5417945,73.8524288,378885,2050515,DEMO_WARD_02,DEMO Ward 02,34.804,0.2595,0.1546,16.76,72.2,0.2021,3.564,402.56,556.37,14074.69,DEMO / SYNTHETIC DATA
DEMO_G_0040,18.5417962,73.852713,378915,2050515,DEMO_WARD_02,DEMO Ward 02,36.648,0.098,0.3243,18.67,70.07,0.2212,6.211,376.21,557.04,16300.48,DEMO / SYNTHETIC DATA
DEMO_G_0041,18.5417979,73.8529972,378945,2050515,DEMO_WARD_03,DEMO Ward 03,31.154,0.4466,0.0704,54.49,45.6,0.2218,4.524,195.74,560.44,11233.17,DEMO / SYNTHETIC DATA
DEMO_G_0042,18.5417996,73.8532814,378975,2050515,DEMO_WARD_03,DEMO Ward 03,33.098,0.3178,-0.0472,15.8,52.04,0.2044,6.668,241.54,552.67,8847.7,DEMO / SYNTHETIC DATA
DEMO_G_0043,18.5418014,73.8535656,379005,2050515,DEMO_WARD_03,DEMO Ward 03,33.953,0.2995,0.0851,27.44,23.3,0.15,2.933,276.29,551.9,7922.43,DEMO / SYNTHETIC DATA
DEMO_G_0044,18.5418031,73.8538498,379035,2050515,DEMO_WARD_03,DEMO Ward 03,35.498,0.1194,0.143,24.04,51.52,0.2056,5.187,362.81,555.63,15952.35,DEMO / SYNTHETIC DATA
DEMO_G_0045,18.5418048,73.854134,379065,2050515,DEMO_WARD_03,DEMO Ward 03,36.188,0.3786,0.173,30.39,57.82,0.1593,6.01,321.01,551.85,10697.58,DEMO / SYNTHETIC DATA
DEMO_G_0046,18.5418065,73.8544182,379095,2050515,DEMO_WARD_03,DEMO Ward 03,30.303,0.2935,0.0855,26.48,43.65,0.2531,5.667,205.33,563.29,10284.87,DEMO / SYNTHETIC DATA
DEMO_G_0047,18.5418083,73.8547025,379125,2050515,DEMO_WARD_03,DEMO Ward 03,33.5,0.2817,0.2508,21.58,45.96,0.2021,3.942,348.77,550.96,12264.12,DEMO / SYNTHETIC DATA
DEMO_G_0048,18.54181,73.8549867,379155,2050515,DEMO_WARD_03,DEMO Ward 03,39.267,0.1572,0.1441,11.98,49.8,0.1759,6.756,300.33,552.09,15568.43,DEMO / SYNTHETIC DATA
DEMO_G_0049,18.5418117,73.8552709,379185,2050515,DEMO_WARD_03,DEMO Ward 03,35.238,0.2633,0.1398,20.38,55.75,0.1499,6.526,331.23,554.16,9895.58,DEMO / SYNTHETIC DATA
DEMO_G_0050,18.5418134,73.8555551,379215,2050515,DEMO_WARD_03,DEMO Ward 03,34.629,0.0816,0.2717,20.55,51.27,0.2044,5.044,426.72,548.94,14691.82,DEMO / SYNTHETIC DATA
DEMO_G_0051,18.5418152,73.8558393,379245,2050515,DEMO_WARD_03,DEMO Ward 03,40.028,0.0405,0.5155,9.08,78.64,0.1541,7.765,533.35,549.37,15661.65,DEMO / SYNTHETIC DATA
DEMO_G_0052,18.5418169,73.8561235,379275,2050515,DEMO_WARD_03,DEMO Ward 03,37.187,0.0635,0.2163,9.2,54.45,0.1986,6.191,297.59,552.97,12682.71,DEMO / SYNTHETIC DATA
DEMO_G_0053,18.5418186,73.8564077,379305,2050515,DEMO_WARD_03,DEMO Ward 03,39.626,0.1329,0.403,27.49,84.73,0.1813,7.312,382.84,554.15,14817.79,DEMO / SYNTHETIC DATA
DEMO_G_0054,18.5418203,73.8566919,379335,2050515,DEMO_WARD_03,DEMO Ward 03,40.677,0.0725,0.4179,17.97,69.96,0.2264,7.328,469.06,550.74,17855.44,DEMO / SYNTHETIC DATA
DEMO_G_0055,18.541822,73.8569761,379365,2050515,DEMO_WARD_03,DEMO Ward 03,39.092,0.0119,0.2807,17.23,78.61,0.1711,7.247,405.86,551.58,10251.66,DEMO / SYNTHETIC DATA
DEMO_G_0056,18.5418238,73.8572603,379395,2050515,DEMO_WARD_03,DEMO Ward 03,37.021,0.171,0.2435,26.71,62.9,0.1674,8.2,475.7,553.73,16691.86,DEMO / SYNTHETIC DATA
DEMO_G_0057,18.5418255,73.8575446,379425,2050515,DEMO_WARD_03,DEMO Ward 03,39.836,-0.0812,0.4057,1.08,78.74,0.1831,7.865,407.13,555.86,18789.93,DEMO / SYNTHETIC DATA
DEMO_G_0058,18.5418272,73.8578288,379455,2050515,DEMO_WARD_03,DEMO Ward 03,38.467,0.0979,0.357,13.69,71.99,0.2296,6.613,436.86,554.52,17452.18,DEMO / SYNTHETIC DATA
DEMO_G_0059,18.5418289,73.858113,379485,2050515,DEMO_WARD_03,DEMO Ward 03,37.767,0.114,0.4444,25.87,72.32,0.1937,8.011,499.14,556.05,15636.98,DEMO / SYNTHETIC DATA
DEMO_G_0060,18.5418306,73.8583972,379515,2050515,DEMO_WARD_03,DEMO Ward 03,39.557,0.1781,0.2862,8.49,82.63,0.1723,7.711,523.37,557.75,16678.55,DEMO / SYNTHETIC DATA
DEMO_G_0061,18.5419996,73.841627,377745,2050545,DEMO_WARD_01,DEMO Ward 01,31.666,0.2493,0.1375,17.73,60.39,0.2622,4.351,497.46,551.93,4818.48,DEMO / SYNTHETIC DATA
DEMO_G_0062,18.5420014,73.8419112,377775,2050545,DEMO_WARD_01,DEMO Ward 01,35.041,0.2372,0.2134,28.6,76.97,0.2126,4.876,445.39,552.23,12563.51,DEMO / SYNTHETIC DATA
DEMO_G_0063,18.5420031,73.8421954,377805,2050545,DEMO_WARD_01,DEMO Ward 01,34.553,0.2252,0.1413,36.46,61.71,0.2462,6.647,395.63,550.2,16195.07,DEMO / SYNTHETIC DATA
DEMO_G_0064,18.5420049,73.8424796,377835,2050545,DEMO_WARD_01,DEMO Ward 01,34.625,0.2337,0.3775,21.46,60.43,0.1414,5.788,411.5,556.98,9723.02,DEMO / SYNTHETIC DATA
DEMO_G_0065,18.5420066,73.8427638,377865,2050545,DEMO_WARD_01,DEMO Ward 01,38.018,0.1356,0.4083,24.91,65.24,0.2368,6.612,542.25,557.4,16654.65,DEMO / SYNTHETIC DATA
DEMO_G_0066,18.5420083,73.8430481,377895,2050545,DEMO_WARD_01,DEMO Ward 01,36.183,0.2255,0.1495,20.21,71.39,0.1809,5.112,363.17,558.04,12152.16,DEMO / SYNTHETIC DATA
DEMO_G_0067,18.5420101,73.8433323,377925,2050545,DEMO_WARD_01,DEMO Ward 01,36.498,0.2131,0.3004,7.84,86.26,0.2185,7.863,329.91,553.86,14182.72,DEMO / SYNTHETIC DATA
DEMO_G_0068,18.5420118,73.8436165,377955,2050545,DEMO_WARD_01,DEMO Ward 01,36.977,0.0538,0.219,19.07,58.06,0.1692,7.294,527.34,547.27,15872.43,DEMO / SYNTHETIC DATA
DEMO_G_0069,18.5420136,73.8439007,377985,2050545,DEMO_WARD_01,DEMO Ward 01,36.633,0.1091,0.2998,27.32,65.15,0.2086,5.93,330.17,556.79,13376.72,DEMO / SYNTHETIC DATA
DEMO_G_0070,18.5420153,73.8441849,378015,2050545,DEMO_WARD_01,DEMO Ward 01,39.104,0.1105,0.3833,16.42,75.29,0.1182,8.502,714.16,554.95,15789.85,DEMO / SYNTHETIC DATA
DEMO_G_0071,18.542017,73.8444691,378045,2050545,DEMO_WARD_01,DEMO Ward 01,34.702,0.1972,0.2534,12.91,63.62,0.2456,7.423,485.92,552.55,13508.7,DEMO / SYNTHETIC DATA
DEMO_G_0072,18.5420188,73.8447533,378075,2050545,DEMO_WARD_01,DEMO Ward 01,35.639,0.0168,0.3138,15.16,70.66,0.1349,7.461,424.7,559.73,16529.28,DEMO / SYNTHETIC DATA
DEMO_G_0073,18.5420205,73.8450375,378105,2050545,DEMO_WARD_01,DEMO Ward 01,37.702,0.0871,0.4108,24.92,65.49,0.1394,7.916,243.03,555.51,17080.94,DEMO / SYNTHETIC DATA
DEMO_G_0074,18.5420222,73.8453217,378135,2050545,DEMO_WARD_01,DEMO Ward 01,36.135,0.0436,0.4056,0.0,49.7,0.2244,6.467,392.69,554.93,16202.01,DEMO / SYNTHETIC DATA
DEMO_G_0075,18.542024,73.8456059,378165,2050545,DEMO_WARD_01,DEMO Ward 01,35.701,0.2087,0.3088,24.27,56.39,0.2035,7.544,316.29,560.64,14981.24,DEMO / SYNTHETIC DATA
DEMO_G_0076,18.5420257,73.8458901,378195,2050545,DEMO_WARD_01,DEMO Ward 01,34.852,0.1231,0.2392,21.37,56.7,0.1636,4.18,373.83,549.65,9883.25,DEMO / SYNTHETIC DATA
DEMO_G_0077,18.5420275,73.8461744,378225,2050545,DEMO_WARD_01,DEMO Ward 01,34.993,0.069,0.2843,20.86,70.74,0.2083,6.174,458.8,553.44,14728.17,DEMO / SYNTHETIC DATA
DEMO_G_0078,18.5420292,73.8464586,378255,2050545,DEMO_WARD_01,DEMO Ward 01,38.028,-0.0027,0.3514,0.0,77.82,0.0934,7.525,489.63,554.66,18567.76,DEMO / SYNTHETIC DATA
DEMO_G_0079,18.5420309,73.8467428,378285,2050545,DEMO_WARD_01,DEMO Ward 01,36.963,0.0849,0.2137,24.64,67.57,0.1922,10.049,419.71,559.89,20148.61,DEMO / SYNTHETIC DATA
DEMO_G_0080,18.5420327,73.847027,378315,2050545,DEMO_WARD_01,DEMO Ward 01,37.765,-0.1,0.316,0.0,85.87,0.2111,8.329,459.72,548.69,15860.36,DEMO / SYNTHETIC DATA
DEMO_G_0081,18.5420344,73.8473112,378345,2050545,DEMO_WARD_02,DEMO Ward 02,35.915,0.1179,0.2271,27.79,73.29,0.1785,7.775,574.81,553.21,14426.16,DEMO / SYNTHETIC DATA
DEMO_G_0082,18.5420361,73.8475954,378375,2050545,DEMO_WARD_02,DEMO Ward 02,38.247,0.1391,0.2462,27.09,73.95,0.1841,7.208,386.89,548.0,15866.37,DEMO / SYNTHETIC DATA
DEMO_G_0083,18.5420379,73.8478796,378405,2050545,DEMO_WARD_02,DEMO Ward 02,37.434,0.2834,0.2745,27.12,55.48,0.2249,6.238,385.89,557.44,14087.29,DEMO / SYNTHETIC DATA
DEMO_G_0084,18.5420396,73.8481638,378435,2050545,DEMO_WARD_02,DEMO Ward 02,38.618,0.0286,0.26,0.0,80.79,0.1702,6.59,421.86,552.28,15394.1,DEMO / SYNTHETIC DATA
DEMO_G_0085,18.5420413,73.848448,378465,2050545,DEMO_WARD_02,DEMO Ward 02,36.666,0.1141,0.1427,15.71,57.53,0.151,5.896,331.91,557.74,14364.74,DEMO / SYNTHETIC DATA
DEMO_G_0086,18.5420431,73.8487322,378495,2050545,DEMO_WARD_02,DEMO Ward 02,35.962,0.2149,0.4123,22.55,73.77,0.241,8.386,454.12,553.43,17960.55,DEMO / SYNTHETIC DATA
DEMO_G_0087,18.5420448,73.8490165,378525,2050545,DEMO_WARD_02,DEMO Ward 02,35.575,0.2852,0.2215,33.75,68.22,0.1859,6.515,352.7,555.91,13771.16,DEMO / SYNTHETIC DATA
DEMO_G_0088,18.5420465,73.8493007,378555,2050545,DEMO_WARD_02,DEMO Ward 02,36.22,0.1133,0.1896,25.54,79.34,0.1851,4.498,396.02,561.52,9788.5,DEMO / SYNTHETIC DATA
DEMO_G_0089,18.5420483,73.8495849,378585,2050545,DEMO_WARD_02,DEMO Ward 02,35.848,0.1755,0.2562,17.86,78.98,0.2129,5.629,284.18,548.24,11688.87,DEMO / SYNTHETIC DATA
DEMO_G_0090,18.54205,73.8498691,378615,2050545,DEMO_WARD_02,DEMO Ward 02,35.458,0.0349,0.1018,9.68,58.98,0.2216,5.101,292.93,547.45,15417.31,DEMO / SYNTHETIC DATA
DEMO_G_0091,18.5420517,73.8501533,378645,2050545,DEMO_WARD_02,DEMO Ward 02,32.132,0.3863,0.3501,30.73,32.3,0.1886,3.928,328.66,552.32,15758.05,DEMO / SYNTHETIC DATA
DEMO_G_0092,18.5420535,73.8504375,378675,2050545,DEMO_WARD_02,DEMO Ward 02,32.662,0.2723,-0.0078,30.52,40.03,0.1244,6.211,156.43,556.29,6785.2,DEMO / SYNTHETIC DATA
DEMO_G_0093,18.5420552,73.8507217,378705,2050545,DEMO_WARD_02,DEMO Ward 02,36.162,0.1887,0.2234,25.3,68.71,0.1255,7.247,360.93,558.52,16277.06,DEMO / SYNTHETIC DATA
DEMO_G_0094,18.5420569,73.8510059,378735,2050545,DEMO_WARD_02,DEMO Ward 02,32.495,0.3435,-0.0992,18.12,43.96,0.2077,4.909,171.13,548.59,9340.95,DEMO / SYNTHETIC DATA
DEMO_G_0095,18.5420586,73.8512901,378765,2050545,DEMO_WARD_02,DEMO Ward 02,34.363,0.4203,0.1122,35.56,45.94,0.179,4.129,168.5,558.55,8599.74,DEMO / SYNTHETIC DATA
DEMO_G_0096,18.5420604,73.8515743,378795,2050545,DEMO_WARD_02,DEMO Ward 02,34.154,0.127,0.1685,18.15,63.46,0.2338,5.84,358.27,553.41,14028.27,DEMO / SYNTHETIC DATA
DEMO_G_0097,18.5420621,73.8518585,378825,2050545,DEMO_WARD_02,DEMO Ward 02,32.909,0.3918,0.0036,37.26,43.24,0.2444,4.668,178.19,554.73,6888.08,DEMO / SYNTHETIC DATA
DEMO_G_0098,18.5420638,73.8521428,378855,2050545,DEMO_WARD_02,DEMO Ward 02,35.804,0.4281,0.1452,53.7,51.71,0.1723,3.985,189.36,550.75,6879.35,DEMO / SYNTHETIC DATA
DEMO_G_0099,18.5420656,73.852427,378885,2050545,DEMO_WARD_02,DEMO Ward 02,33.541,0.3004,0.2186,15.56,56.01,0.246,3.506,311.99,559.79,13354.74,DEMO / SYNTHETIC DATA
DEMO_G_0100,18.5420673,73.8527112,378915,2050545,DEMO_WARD_02,DEMO Ward 02,32.083,0.3253,0.1731,20.43,41.1,0.1807,3.64,320.29,557.73,10005.82,DEMO / SYNTHETIC DATA
DEMO_G_0101,18.542069,73.8529954,378945,2050545,DEMO_WARD_03,DEMO Ward 03,34.244,0.2436,0.276,36.47,44.78,0.2164,4.527,216.6,550.46,11768.68,DEMO / SYNTHETIC DATA
DEMO_G_0102,18.5420707,73.8532796,378975,2050545,DEMO_WARD_03,DEMO Ward 03,31.748,0.353,0.1334,36.25,51.74,0.2592,5.437,333.16,551.72,11627.81,DEMO / SYNTHETIC DATA
DEMO_G_0103,18.5420725,73.8535638,379005,2050545,DEMO_WARD_03,DEMO Ward 03,28.638,0.3248,-0.0246,35.15,45.3,0.2514,3.049,282.85,552.86,12179.31,DEMO / SYNTHETIC DATA
DEMO_G_0104,18.5420742,73.853848,379035,2050545,DEMO_WARD_03,DEMO Ward 03,33.495,0.4342,0.1078,47.62,43.58,0.1945,2.464,151.8,553.04,9938.21,DEMO / SYNTHETIC DATA
DEMO_G_0105,18.5420759,73.8541322,379065,2050545,DEMO_WARD_03,DEMO Ward 03,33.658,0.3673,0.1059,39.33,31.9,0.1642,4.387,362.07,551.52,12562.22,DEMO / SYNTHETIC DATA
DEMO_G_0106,18.5420776,73.8544164,379095,2050545,DEMO_WARD_03,DEMO Ward 03,34.55,0.2147,0.2618,11.65,49.27,0.2159,7.227,362.22,554.46,14736.2,DEMO / SYNTHETIC DATA
DEMO_G_0107,18.5420794,73.8547007,379125,2050545,DEMO_WARD_03,DEMO Ward 03,35.47,0.2283,0.2133,39.64,67.96,0.1981,4.676,448.61,553.53,15779.87,DEMO / SYNTHETIC DATA
DEMO_G_0108,18.5420811,73.8549849,379155,2050545,DEMO_WARD_03,DEMO Ward 03,34.111,0.296,0.0411,34.39,47.88,0.1872,6.092,391.45,554.32,16892.83,DEMO / SYNTHETIC DATA
DEMO_G_0109,18.5420828,73.8552691,379185,2050545,DEMO_WARD_03,DEMO Ward 03,36.669,0.1972,0.1876,19.9,55.87,0.2037,4.526,349.81,558.0,16080.91,DEMO / SYNTHETIC DATA
DEMO_G_0110,18.5420845,73.8555533,379215,2050545,DEMO_WARD_03,DEMO Ward 03,37.873,0.0201,0.3893,15.43,62.54,0.1729,9.81,339.24,556.47,16167.25,DEMO / SYNTHETIC DATA
DEMO_G_0111,18.5420862,73.8558375,379245,2050545,DEMO_WARD_03,DEMO Ward 03,38.741,0.142,0.2033,21.16,79.76,0.1252,7.798,445.14,549.92,16997.75,DEMO / SYNTHETIC DATA
DEMO_G_0112,18.542088,73.8561217,379275,2050545,DEMO_WARD_03,DEMO Ward 03,41.921,-0.0028,0.4369,13.18,84.48,0.1984,8.174,650.58,554.15,17570.46,DEMO / SYNTHETIC DATA
DEMO_G_0113,18.5420897,73.8564059,379305,2050545,DEMO_WARD_03,DEMO Ward 03,39.747,0.1513,0.5117,16.75,81.32,0.2052,6.982,498.91,553.59,17982.82,DEMO / SYNTHETIC DATA
DEMO_G_0114,18.5420914,73.8566901,379335,2050545,DEMO_WARD_03,DEMO Ward 03,34.992,0.1673,0.1671,21.51,58.3,0.2102,7.244,392.62,553.04,16211.41,DEMO / SYNTHETIC DATA
DEMO_G_0115,18.5420931,73.8569743,379365,2050545,DEMO_WARD_03,DEMO Ward 03,33.566,0.2319,0.2985,20.49,83.96,0.188,8.322,504.56,554.31,12722.62,DEMO / SYNTHETIC DATA
DEMO_G_0116,18.5420948,73.8572585,379395,2050545,DEMO_WARD_03,DEMO Ward 03,38.188,0.0648,0.4087,0.0,81.46,0.2372,9.275,418.9,557.52,20828.13,DEMO / SYNTHETIC DATA
DEMO_G_0117,18.5420966,73.8575428,379425,2050545,DEMO_WARD_03,DEMO Ward 03,37.479,0.2273,0.3808,24.34,68.37,0.2139,7.646,349.72,549.29,11436.22,DEMO / SYNTHETIC DATA
DEMO_G_0118,18.5420983,73.857827,379455,2050545,DEMO_WARD_03,DEMO Ward 03,39.082,0.258,0.2612,22.22,60.32,0.1738,6.795,423.96,560.36,13746.3,DEMO / SYNTHETIC DATA
DEMO_G_0119,18.5421,73.8581112,379485,2050545,DEMO_WARD_03,DEMO Ward 03,42.251,0.0715,0.4249,1.94,86.73,0.1573,8.046,630.26,547.19,14201.64,DEMO / SYNTHETIC DATA
DEMO_G_0120,18.5421017,73.8583954,379515,2050545,DEMO_WARD_03,DEMO Ward 03,40.497,-0.0177,0.3662,1.29,72.24,0.1277,9.308,491.72,555.91,22147.55,DEMO / SYNTHETIC DATA
DEMO_G_0121,18.5422707,73.8416252,377745,2050575,DEMO_WARD_01,DEMO Ward 01,33.187,0.2947,0.0186,45.86,48.39,0.1674,4.37,148.73,551.21,9622.35,DEMO / SYNTHETIC DATA
DEMO_G_0122,18.5422725,73.8419094,377775,2050575,DEMO_WARD_01,DEMO Ward 01,36.881,0.117,0.2886,25.17,82.57,0.1903,6.363,485.42,559.2,17471.38,DEMO / SYNTHETIC DATA
DEMO_G_0123,18.5422742,73.8421936,377805,2050575,DEMO_WARD_01,DEMO Ward 01,34.674,0.1929,0.0248,10.92,54.62,0.245,4.794,502.83,559.77,14122.78,DEMO / SYNTHETIC DATA
DEMO_G_0124,18.5422759,73.8424778,377835,2050575,DEMO_WARD_01,DEMO Ward 01,35.828,0.243,0.2644,30.6,59.88,0.2476,5.791,462.17,558.56,13057.23,DEMO / SYNTHETIC DATA
DEMO_G_0125,18.5422777,73.842762,377865,2050575,DEMO_WARD_01,DEMO Ward 01,36.11,0.1636,0.3631,25.06,69.07,0.2038,6.486,458.34,551.68,11665.78,DEMO / SYNTHETIC DATA
